syllable_type,lyrics_representation,input_text,phoneme_representation1,phoneme_representation2,phoneme_representation3,phoneme_representation4,phoneme_representation5,SysEX_header,ph1,time1,ph2,time2,ph3,time3,ph4,time4,ph5,time5,eox
ね,ね,ね,,,,nhe,ej,F0 43 1# 5D 03 0* 00,1F,4,4,0,,,,,,,F7
の,の,の,,,,nho,oj,F0 43 1# 5D 03 0* 00,20,4,5,0,,,,,,,F7
な（長）,ナ,,,,,nha,aj,F0 43 1# 5D 03 0* 00,1C,E,1,0,,,,,,,F7
に（長）,ニ,,,,,nhi,ij,F0 43 1# 5D 03 0* 00,1D,E,2,0,,,,,,,F7
ぬ（長）,ヌ,,,,,nhu,uj,F0 43 1# 5D 03 0* 00,1E,E,3,0,,,,,,,F7
ね（長）,ネ,,,,,nhe,ej,F0 43 1# 5D 03 0* 00,1F,E,4,0,,,,,,,F7
の（長）,ノ,,,,,nho,oj,F0 43 1# 5D 03 0* 00,20,E,5,0,,,,,,,F7
は,は,は,,,,hha,aj,F0 43 1# 5D 03 0* 00,23,0A,1,0,,,,,,,F7
ひ,ひ,ひ,,,,hhi,ij,F0 43 1# 5D 03 0* 00,24,0C,2,0,,,,,,,F7
ほぅ,ほぅ,ほぅ,,,,hhu,uj,F0 43 1# 5D 03 0* 00,25,0A,3,0,,,,,,,F7
へ,へ,へ,,,,hhe,ej,F0 43 1# 5D 03 0* 00,26,0A,4,0,,,,,,,F7
ほ,ほ,ほ,,,,hho,oj,F0 43 1# 5D 03 0* 00,27,0B,5,0,,,,,,,F7
ふぁ,ふぁ,ふぁ,,,,fha,aj,F0 43 1# 5D 03 0* 00,29,A,1,0,,,,,,,F7
ふぃ,ふぃ,ふぃ,,,,fhi,ij,F0 43 1# 5D 03 0* 00,2A,D,2,0,,,,,,,F7
ふ,ふ,ふ,,,,fhu,uj,F0 43 1# 5D 03 0* 00,2B,C,3,0,,,,,,,F7
ふぇ,ふぇ,ふぇ,,,,fhe,ej,F0 43 1# 5D 03 0* 00,2C,E,4,0,,,,,,,F7
ふぉ,ふぉ,ふぉ,,,,fho,oj,F0 43 1# 5D 03 0* 00,2D,C,5,0,,,,,,,F7
